fonte,host,clube,query,url,arquivo,tstamp,titulo,data_documento,pdf_id,ficheiro_pdf,ficheiro_texto
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/FR41514.pdf,https://arquivo.pt/wayback/20150422175003/http://web3.cmvm.pt/sdi2004/emitentes/docs/FR41514.pdf,20150422175003,"Sport Lisboa e Benfica - Futebol, SAD",2015-04-22,65a9cb26049f61c9,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/65a9cb26049f61c9.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/65a9cb26049f61c9.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/FR52205.pdf,https://arquivo.pt/wayback/20150422185306/http://web3.cmvm.pt/sdi2004/emitentes/docs/FR52205.pdf,20150422185306,"Sport Lisboa e Benfica - Futebol, SAD",2015-04-22,30abaefee31682b8,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/30abaefee31682b8.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/30abaefee31682b8.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/FR46922.pdf,https://arquivo.pt/wayback/20160210132500/http://web3.cmvm.pt/sdi2004/emitentes/docs/FR46922.pdf,20160210132500,"Sport Lisboa e Benfica - Futebol, SAD",2016-02-10,861c8439ad3d960c,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/861c8439ad3d960c.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/861c8439ad3d960c.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/PCT47770.pdf,https://arquivo.pt/wayback/20150422191726/http://web3.cmvm.pt/sdi2004/emitentes/docs/PCT47770.pdf,20150422191726,"Sport Lisboa e Benfica - Futebol, SAD",2015-04-22,70b18f5a19d61025,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/70b18f5a19d61025.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/70b18f5a19d61025.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi/emitentes/docs/FR57044.pdf,https://arquivo.pt/wayback/20160210115443/http://web3.cmvm.pt/sdi/emitentes/docs/FR57044.pdf,20160210115443,"Sport Lisboa e Benfica - Futebol, SAD",2016-02-10,750fd8558411d365,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/750fd8558411d365.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/750fd8558411d365.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/FR37794.pdf,https://arquivo.pt/wayback/20150422193933/http://web3.cmvm.pt/sdi2004/emitentes/docs/FR37794.pdf,20150422193933,"Sport Lisboa e Benfica - Futebol, SAD",2015-04-22,4c6b9711ec1753c5,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/4c6b9711ec1753c5.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/4c6b9711ec1753c5.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/PCT50666.pdf,https://arquivo.pt/wayback/20150422172545/http://web3.cmvm.pt/sdi2004/emitentes/docs/PCT50666.pdf,20150422172545,"Sport Lisboa e Benfica - Futebol, SAD",2015-04-22,4e7ed406d5112bab,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/4e7ed406d5112bab.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/4e7ed406d5112bab.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/PC42041.pdf,https://arquivo.pt/wayback/20150422185231/http://web3.cmvm.pt/sdi2004/emitentes/docs/PC42041.pdf,20150422185231,"Sport Lisboa e Benfica - Futebol, SAD",2015-04-22,d392a939e57f10d2,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/d392a939e57f10d2.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/d392a939e57f10d2.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/PCT53077.pdf,https://arquivo.pt/wayback/20150422193154/http://web3.cmvm.pt/sdi2004/emitentes/docs/PCT53077.pdf,20150422193154,"Sport Lisboa e Benfica - Futebol, SAD",2015-04-22,5ce6131a51223ac1,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/5ce6131a51223ac1.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/5ce6131a51223ac1.txt
cmvm,web3.cmvm.pt,benfica,"""Sport Lisboa e Benfica - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/PCS48780.pdf,https://arquivo.pt/wayback/20150422191827/http://web3.cmvm.pt/sdi2004/emitentes/docs/PCS48780.pdf,20150422191827,"Sport Lisboa e Benfica - Futebol, SAD",2015-04-22,822319bbf8432a84,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/822319bbf8432a84.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/822319bbf8432a84.txt
